fk_maquina,nome,data_medicao,cpu_frequencia,cpu_porcentagem,cpu_temperatura,disco_livre,disco_porcentagem,ram_livre,ram_porcentagem
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:11:00",NULL,NULL,27.85,NULL,NULL,NULL,NULL
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:54",100.00,12.14,27.85,234.52,74.82,2.11,73.14
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:48",99.00,18.09,27.85,234.52,74.82,2.13,73.01
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:42",47.00,21.48,27.85,234.53,74.82,2.13,73.14
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:37",25.00,23.84,27.85,234.53,74.82,2.13,73.14
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:30",99.00,20.31,27.85,234.53,74.82,2.12,72.89
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:25",60.00,19.21,27.85,234.53,74.82,2.13,73.01
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:19",99.00,25.35,27.85,234.53,74.82,2.14,72.89
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:13",54.00,18.52,27.85,234.54,74.82,2.14,72.89
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:07",28.00,22.26,27.85,234.54,74.82,2.18,72.51
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:10:01",52.00,14.06,27.85,234.54,74.82,2.18,72.51
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:55",49.00,20.38,27.85,234.55,74.82,2.15,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:49",99.00,18.66,27.85,234.55,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:43",97.00,21.52,27.85,234.55,74.82,2.15,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:37",42.00,21.14,27.85,234.55,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:31",92.00,16.68,27.85,234.55,74.82,2.16,72.89
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:25",99.00,18.57,27.85,234.55,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:19",24.00,14.03,27.85,234.56,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:14",59.00,24.29,27.85,234.56,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:07",35.00,20.34,27.85,234.56,74.82,2.15,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:09:01",62.00,20.34,27.85,234.56,74.82,2.15,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:56",35.00,12.35,27.85,234.56,74.82,2.15,72.89
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:50",38.00,18.83,27.85,234.56,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:44",95.00,23.09,27.85,234.57,74.82,2.14,73.01
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:38",93.00,20.82,27.85,234.57,74.82,2.11,73.27
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:32",44.00,20.40,27.85,234.57,74.82,2.16,72.76
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:26",29.00,18.07,27.85,234.57,74.82,2.16,72.64
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:21",99.00,37.51,27.85,234.57,74.82,2.17,72.64
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:15",36.00,19.64,27.85,234.60,74.82,1.99,74.91
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:09",45.00,39.41,27.85,234.60,74.81,1.99,74.91
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:08:03",31.00,20.29,27.85,234.61,74.81,1.98,75.03
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:57",34.00,29.20,27.85,234.61,74.81,1.95,75.41
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:51",25.00,20.34,27.85,234.61,74.81,1.98,74.91
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:45",92.00,18.21,27.85,234.61,74.81,1.98,75.03
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:40",50.00,21.59,27.85,234.61,74.81,1.97,75.03
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:34",94.00,18.80,27.85,234.62,74.81,1.99,74.91
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:28",90.00,26.89,27.85,234.62,74.81,1.99,74.91
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:22",99.00,28.09,27.85,234.62,74.81,1.96,75.28
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:16",99.00,14.27,27.85,234.62,74.81,1.99,74.78
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:10",55.00,18.46,27.85,234.62,74.81,2.00,74.78
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:07:04",96.00,23.84,27.85,234.62,74.81,1.99,75.03
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:58",29.00,23.07,27.85,234.63,74.81,1.98,75.03
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:52",99.00,26.96,27.85,234.63,74.81,1.99,74.78
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:46",35.00,28.76,27.85,234.63,74.81,1.98,74.91
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:40",37.00,17.35,27.85,234.63,74.81,1.98,75.28
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:34",99.00,19.32,27.85,234.63,74.81,1.97,75.16
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:28",79.00,23.43,27.85,234.63,74.81,1.95,75.28
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:21",99.00,37.15,27.85,234.64,74.81,1.96,75.54
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:15",95.00,21.86,27.85,234.64,74.81,1.90,76.04
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:09",56.00,23.48,27.85,234.65,74.81,1.93,75.66
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:06:03",82.00,40.15,27.85,234.65,74.81,1.90,76.54
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:57",99.00,27.32,27.85,234.65,74.81,1.82,76.67
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:50",99.00,46.55,27.85,234.66,74.81,1.87,76.17
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:44",93.00,21.97,27.85,234.67,74.81,1.92,75.79
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:38",34.00,22.70,27.85,234.67,74.81,1.94,75.54
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:32",43.00,21.53,27.85,234.67,74.81,1.93,75.16
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:26",43.00,31.44,27.85,234.67,74.81,1.95,75.41
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:20",52.00,21.56,27.85,234.68,74.81,1.94,75.41
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:13",97.00,18.87,27.85,234.68,74.81,1.99,74.40
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:07",99.00,23.09,27.85,234.69,74.81,2.03,74.53
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:05:01",99.00,24.26,27.85,234.69,74.81,2.01,74.40
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:55",54.00,41.91,27.85,234.69,74.81,2.02,74.40
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:48",38.00,54.94,27.85,234.70,74.80,1.84,77.05
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:42",99.00,18.05,27.85,234.70,74.80,1.84,76.80
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:36",45.00,19.97,27.85,234.70,74.80,1.83,76.92
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:30",56.00,42.71,27.85,234.70,74.80,1.81,76.80
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:24",92.00,16.04,27.85,234.71,74.80,1.85,76.67
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:18",57.00,20.02,27.85,234.71,74.80,1.85,76.67
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:12",43.00,27.70,27.85,234.71,74.80,1.82,76.67
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:06",96.00,19.68,27.85,234.71,74.80,1.86,76.54
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:04:00",40.00,21.57,27.85,234.72,74.80,1.86,76.54
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:03:54",27.00,29.32,27.85,234.72,74.80,1.86,76.54
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:03:48",99.00,18.44,27.85,234.72,74.80,1.83,76.92
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:03:42",95.00,24.24,27.85,234.72,74.80,1.83,76.80
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:03:36",29.00,28.01,27.85,234.73,74.80,1.87,76.42
0C:9D:92:C6:CC:19,DESKTOP1,"2021-10-05 21:03:30",99.00,19.60,27.85,234.73,74.80,1.83,76.92
